Index,GPA,SAT,Strategy
2.5:1430,2.5,1430,2
2.4:1430,2.4,1430,5
2.3:1430,2.3,1430,5
2.2:1430,2.2,1430,5
2.1:1430,2.1,1430,5
2.0:1430,2,1430,5
1.9:1430,1.9,1430,6
1.8:1430,1.8,1430,6
1.7:1430,1.7,1430,6
1.6:1430,1.6,1430,6
1.5:1430,1.5,1430,6
4.3:1460,4.3,1460,1
4.2:1460,4.2,1460,1
4.1:1460,4.1,1460,1
4.0:1460,4,1460,1
3.9:1460,3.9,1460,1
3.8:1460,3.8,1460,1
3.7:1460,3.7,1460,1
3.6:1460,3.6,1460,1
3.5:1460,3.5,1460,1
3.4:1460,3.4,1460,1
3.3:1460,3.3,1460,1
3.2:1460,3.2,1460,1
3.1:1460,3.1,1460,1
3.0:1460,3,1460,1
2.9:1460,2.9,1460,2
2.8:1460,2.8,1460,2
2.7:1460,2.7,1460,2
2.6:1460,2.6,1460,2
2.5:1460,2.5,1460,2
2.4:1460,2.4,1460,2
2.3:1460,2.3,1460,5
2.2:1460,2.2,1460,5
2.1:1460,2.1,1460,5
2.0:1460,2,1460,5
1.9:1460,1.9,1460,6
1.8:1460,1.8,1460,6
1.7:1460,1.7,1460,6
1.6:1460,1.6,1460,6
1.5:1460,1.5,1460,6
4.3:1500,4.3,1500,1
4.2:1500,4.2,1500,1
4.1:1500,4.1,1500,1
4.0:1500,4,1500,1
3.9:1500,3.9,1500,1
3.8:1500,3.8,1500,1
3.7:1500,3.7,1500,1
3.6:1500,3.6,1500,1
3.5:1500,3.5,1500,1
3.4:1500,3.4,1500,1
3.3:1500,3.3,1500,1
3.2:1500,3.2,1500,1
3.1:1500,3.1,1500,1
3.0:1500,3,1500,1
2.9:1500,2.9,1500,1
2.8:1500,2.8,1500,1
2.7:1500,2.7,1500,2
2.6:1500,2.6,1500,2
2.5:1500,2.5,1500,2
2.4:1500,2.4,1500,2
2.3:1500,2.3,1500,2
2.2:1500,2.2,1500,5
2.1:1500,2.1,1500,5
2.0:1500,2,1500,5
1.9:1500,1.9,1500,5
1.8:1500,1.8,1500,6
1.7:1500,1.7,1500,6
1.6:1500,1.6,1500,6
1.5:1500,1.5,1500,6
4.3:1540,4.3,1540,1
4.2:1540,4.2,1540,1
4.1:1540,4.1,1540,1
4.0:1540,4,1540,1
3.9:1540,3.9,1540,1
3.8:1540,3.8,1540,1
3.7:1540,3.7,1540,1
3.6:1540,3.6,1540,1
3.5:1540,3.5,1540,1
3.4:1540,3.4,1540,1
3.3:1540,3.3,1540,1
3.2:1540,3.2,1540,1
3.1:1540,3.1,1540,1
3.0:1540,3,1540,1
2.9:1540,2.9,1540,1
2.8:1540,2.8,1540,1
2.7:1540,2.7,1540,1
2.6:1540,2.6,1540,1
2.5:1540,2.5,1540,2
2.4:1540,2.4,1540,2
2.3:1540,2.3,1540,2
2.2:1540,2.2,1540,5
2.1:1540,2.1,1540,5
2.0:1540,2,1540,5
1.9:1540,1.9,1540,5
1.8:1540,1.8,1540,5
1.7:1540,1.7,1540,6
1.6:1540,1.6,1540,6
1.5:1540,1.5,1540,6
4.3:1590,4.3,1590,1
4.2:1590,4.2,1590,1
4.1:1590,4.1,1590,1
4.0:1590,4,1590,1
3.9:1590,3.9,1590,1
3.8:1590,3.8,1590,1
3.7:1590,3.7,1590,1
3.6:1590,3.6,1590,1
3.5:1590,3.5,1590,1
3.4:1590,3.4,1590,1
3.3:1590,3.3,1590,1
3.2:1590,3.2,1590,1
3.1:1590,3.1,1590,1
3.0:1590,3,1590,1
2.9:1590,2.9,1590,1
2.8:1590,2.8,1590,1
2.7:1590,2.7,1590,1
2.6:1590,2.6,1590,1
2.5:1590,2.5,1590,1
2.4:1590,2.4,1590,1
2.3:1590,2.3,1590,1
2.2:1590,2.2,1590,2
2.1:1590,2.1,1590,5
2.0:1590,2,1590,5
1.9:1590,1.9,1590,5
1.8:1590,1.8,1590,5
1.7:1590,1.7,1590,5
1.6:1590,1.6,1590,6
1.5:1590,1.5,1590,6
